interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
202,4,105607,1650.1094,16384,49.9493,1.1712,0.3786,1.9622,12.608,4.439,12.608,0.9132,123.6443,5.7952,0.634
203,4,106032,1656.75,16384,50.3386,1.1651,0.3816,1.9592,10.605,2.292,10.605,0.8932,123.547,5.7847,0.6517
204,4,105388,1646.6875,16384,49.7912,1.1735,0.3785,1.9618,13.198,11.123,13.198,0.8904,123.6415,5.6661,0.58
205,4,105347,1646.0469,16384,49.7613,1.173,0.3775,1.9611,12.189,2.649,12.189,0.9,123.5908,5.9716,0.8301
206,4,105850,1653.9062,16384,49.9953,1.1683,0.3762,1.9604,7.564,2.642,7.564,0.8891,123.6652,5.8141,0.6609
207,4,105293,1645.2031,16384,50.1496,1.1732,0.3844,1.9668,14.391,10.556,14.391,0.9106,123.5346,6.1498,0.82
208,4,105446,1647.5938,16384,50.0465,1.172,0.3788,1.9667,6.242,2.477,6.242,0.8921,123.6108,5.8787,0.7314
209,4,104857,1638.3906,16384,49.7725,1.178,0.377,1.9718,12.249,11.747,12.249,0.9089,123.5274,5.7254,0.6243
210,4,105306,1645.4062,16384,50.0921,1.1744,0.3798,1.972,9.59,3.071,9.59,0.902,123.6633,5.6057,0.5623
211,4,105938,1655.2812,16384,50.1746,1.1671,0.3817,1.958,14.442,9.183,14.442,0.8899,123.6378,5.7488,0.6418
212,4,105455,1647.7344,16384,50.083,1.1727,0.3817,1.9664,15.398,10.431,15.398,0.9209,123.6548,5.8529,0.6592
213,4,106076,1657.4375,16384,50.1197,1.1645,0.3793,1.9534,7.511,3.846,7.511,0.8834,123.5248,6.0817,0.7491
214,4,105642,1650.6562,16384,50.1552,1.1706,0.3799,1.9661,11.995,3.321,11.995,0.9113,123.6488,5.921,0.6589
215,4,105487,1648.2344,16384,49.9597,1.1721,0.3803,1.9625,7.915,2.647,7.915,0.8876,123.641,5.818,0.6148
216,4,105501,1648.4531,16384,49.8337,1.172,0.3783,1.9604,15.649,2.9,15.649,0.9242,123.6467,5.6972,0.633
217,4,105343,1645.9844,16384,50.1543,1.1735,0.3819,1.97,6.964,3.012,6.964,0.8996,123.6161,5.6829,0.6156
218,4,105988,1656.0625,16384,49.9396,1.1664,0.3773,1.9536,5.773,2.444,5.773,0.8789,123.6403,5.8083,0.6156
219,4,106063,1657.2344,16384,50.1768,1.1646,0.3791,1.9556,10.532,2.6,10.532,0.8841,123.5123,6.0694,0.6963
220,4,105089,1642.0156,16384,49.9139,1.1768,0.3808,1.97,11.161,2.447,11.161,0.9036,123.6467,5.8391,0.6418
221,4,104813,1637.7031,16384,49.7849,1.1798,0.38,1.9727,10.044,2.673,10.044,0.8961,123.6549,5.7961,0.6945
222,4,105468,1647.9375,16384,50.2143,1.1719,0.3798,1.9708,13.541,12.759,13.541,0.899,123.6086,5.9042,0.7213
223,4,104680,1635.625,16384,49.6532,1.1791,0.3798,1.9674,11.455,8.622,11.455,0.909,123.4388,6.0573,0.8462
224,4,105383,1646.6094,16384,49.7775,1.1733,0.3795,1.9601,6.62,3.39,6.62,0.8863,123.6385,5.9945,0.7303
225,4,105324,1645.6875,16384,49.8253,1.1744,0.3816,1.9617,12.888,2.568,12.888,0.8877,123.6753,6.0774,0.9713
226,4,106080,1657.5,16384,50.1565,1.1643,0.3793,1.9542,6.408,2.615,6.408,0.8838,123.5394,5.8484,0.641
227,4,105360,1646.25,16384,49.9506,1.1736,0.3816,1.964,10.158,2.592,10.158,0.8953,123.6466,5.6194,0.5878
228,4,105557,1649.3281,16384,50.1018,1.1715,0.3813,1.9649,7.847,4.159,7.847,0.8906,123.649,5.7557,0.6405
229,4,105318,1645.5938,16384,49.9791,1.1736,0.3815,1.965,6.402,2.664,6.402,0.8869,123.6024,5.9414,0.7483
230,4,105378,1646.5312,16384,50.0579,1.1735,0.3807,1.9682,11.315,2.698,11.315,0.9048,123.6571,6.1638,0.8551
231,4,105390,1646.7188,16384,50.2002,1.172,0.3831,1.9672,9.198,5.018,9.198,0.895,123.5396,5.8603,0.6234
232,4,105054,1641.4688,16384,50.1218,1.1772,0.3826,1.9757,13.134,11.379,13.134,0.9271,123.6473,5.6313,0.597
233,4,105887,1654.4844,16384,49.8437,1.1674,0.3769,1.953,13.982,6.282,13.982,0.8898,123.6544,5.7587,0.6319
234,4,105262,1644.7188,16384,50.0342,1.1752,0.3876,1.964,11.902,11.509,11.902,0.9025,123.6593,5.84,0.6588
235,4,105781,1652.8281,16384,50.0648,1.1675,0.3794,1.9578,12.117,5.824,12.117,0.8939,123.5311,5.9915,0.7223
236,4,105626,1650.4062,16384,49.9129,1.1704,0.3779,1.9602,11.692,11.692,6.187,0.8885,123.6388,5.8109,0.6952
237,4,105087,1641.9844,16384,49.9443,1.1764,0.3784,1.9726,6.601,3.883,6.601,0.9044,123.6115,5.6433,0.5973
238,4,105544,1649.125,16384,50.0512,1.1714,0.3779,1.9665,12.09,2.611,12.09,0.9034,123.6235,5.5546,0.5796
239,4,105126,1642.5938,16384,50.0466,1.1761,0.3795,1.9742,12.081,2.502,12.081,0.9262,123.6374,5.7216,0.6585
240,4,105206,1643.8438,16384,50.0589,1.1745,0.3812,1.9697,7.202,2.658,7.202,0.8947,123.5945,5.7738,0.6515
241,4,104925,1639.4531,16384,49.9261,1.1785,0.3812,1.9735,13.904,2.445,13.904,0.9099,123.6316,5.9578,0.7402
242,4,104749,1636.7031,16384,49.7628,1.18,0.3819,1.9706,11.411,11.411,9.178,0.8981,123.6191,5.7739,0.6683
243,4,104712,1636.125,16384,49.9284,1.1809,0.379,1.9804,12.396,2.67,12.396,0.9073,123.6267,5.5654,0.5887
244,4,105831,1653.6094,16384,50.0591,1.168,0.3779,1.96,11.351,9.526,11.351,0.9071,123.6415,5.7525,0.5966
245,4,105433,1647.3906,16384,50.3087,1.1728,0.3843,1.9712,12.067,9.924,12.067,0.9051,123.6399,5.7827,0.6415
246,4,105296,1645.25,16384,49.887,1.1743,0.3797,1.9653,13.558,5.566,13.558,0.9061,123.6484,6.2767,0.9794
247,4,105082,1641.9062,16384,49.9334,1.1758,0.3839,1.9657,12.27,2.68,12.27,0.9083,123.5428,5.6603,0.6249
248,4,105207,1643.8594,16384,50.0822,1.1753,0.3824,1.9707,7.985,3.994,7.985,0.8993,123.6556,5.6916,0.5968
249,4,105432,1647.375,16384,49.8596,1.173,0.3793,1.9622,13.056,2.546,13.056,0.8913,123.6472,5.7389,0.605
250,4,105519,1648.7344,16384,49.9152,1.1717,0.3816,1.9592,11.661,2.509,11.661,0.8843,123.6495,5.8034,0.6498
251,4,105281,1645.0156,16384,49.9492,1.1731,0.3791,1.9656,8.109,3.203,8.109,0.896,123.5437,5.8172,0.6692
252,4,106339,1661.5469,16384,50.5346,1.1628,0.379,1.9635,7.427,2.616,7.427,0.8909,123.6149,6.2262,0.8729
253,4,105552,1649.25,16384,50.0332,1.171,0.3827,1.9604,7.04,2.541,7.04,0.8878,123.6064,5.9085,0.6951
254,4,104948,1639.8125,16384,50.1172,1.1767,0.3843,1.9728,13.037,2.676,13.037,0.9171,123.494,5.8062,0.7045
255,4,105934,1655.2188,16384,50.1907,1.167,0.3808,1.9592,9.795,9.795,8.861,0.8938,123.6254,5.7728,0.6503
256,4,104110,1626.7188,16384,49.5956,1.1873,0.3834,1.9784,13.386,7.899,13.386,0.9268,123.6127,5.7503,0.7489
257,4,104649,1635.1406,16384,50.1008,1.1815,0.3827,1.9834,11.571,3.803,11.571,0.9222,123.6375,6.2427,1.0524
